fs_recode,laptop_recode,VEH,english_hh,single_parent,nonfamily,HINCP,HUGCL,children,good_english_speaker,multigen,NR,unmarried_partner,samesex_marriage,tenure_own
0.0,1.0,0.0,0.0,0.0,1.0,22000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,10100.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,2.0,1.0,0.0,1.0,35500.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,1.0,21220.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,0.0,43600.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,1.0,26400.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,1.0,0.0,1.0,7500.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,1.0,0.0,91200.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,34900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,2.0,1.0,0.0,0.0,16600.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,6000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,14000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,1.0,0.0,0.0,55300.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,2.0,0.0,1.0,0.0,45200.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,3000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,1.0,4000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,1.0,0.0,1100.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,5630.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,0.0,48000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0,0.0,0.0,9800.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,1.0,0.0,0.0,174000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,2.0,1.0,0.0,0.0,86150.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,1.0,78000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,32900.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,1.0,10400.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,1.0,6000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,1.0,48800.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,1.0,1.0,0.0,1.0,0.0,95200.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
